PID	%CPU	TimeStamp
1	50.0	0.730000
2	50.0	0.730000
3	50.0	0.730000
4	50.0	0.730000
5	50.0	0.730000
0	50.0	0.740000
1	50.0	0.740000
3	50.0	0.740000
5	50.0	0.740000
2	0.0	0.740000
4	0.0	0.740000
1	33.3	0.750000
2	33.3	0.750000
3	33.3	0.750000
4	33.3	0.750000
0	0.0	0.750000
5	0.0	0.750000
0	50.0	0.760000
2	50.0	0.760000
4	50.0	0.760000
5	50.0	0.760000
1	0.0	0.760000
3	0.0	0.760000
0	50.0	0.770000
1	50.0	0.770000
4	50.0	0.770000
2	0.0	0.770000
3	0.0	0.770000
5	0.0	0.770000
0	33.3	0.780000
1	33.3	0.780000
2	33.3	0.780000
3	33.3	0.780000
4	0.0	0.780000
5	0.0	0.780000
0	33.3	0.790000
1	33.3	0.790000
2	33.3	0.790000
3	33.3	0.790000
4	33.3	0.790000
5	33.3	0.790000
4	100.0	0.800000
1	50.0	0.800000
5	50.0	0.800000
0	0.0	0.800000
2	0.0	0.800000
3	0.0	0.800000
0	33.3	0.810000
1	33.3	0.810000
2	33.3	0.810000
3	33.3	0.810000
4	0.0	0.810000
5	0.0	0.810000
0	33.3	0.820000
2	33.3	0.820000
4	33.3	0.820000
1	0.0	0.820000
3	0.0	0.820000
5	0.0	0.820000
1	66.7	0.830000
0	33.3	0.830000
3	33.3	0.830000
4	33.3	0.830000
5	33.3	0.830000
2	0.0	0.830000
2	50.0	0.839999
3	50.0	0.839999
4	50.0	0.839999
5	50.0	0.839999
0	0.0	0.839999
1	0.0	0.839999
0	100.0	0.849999
1	50.0	0.849999
2	0.0	0.849999
3	0.0	0.849999
4	0.0	0.849999
5	0.0	0.849999
0	33.3	0.859999
1	33.3	0.859999
2	33.3	0.859999
3	33.3	0.859999
4	33.3	0.859999
5	33.3	0.859999
4	50.0	0.869999
5	50.0	0.869999
0	0.0	0.869999
1	0.0	0.869999
2	0.0	0.869999
3	0.0	0.869999
0	33.3	0.879999
1	33.3	0.879999
2	33.3	0.879999
3	33.3	0.879999
4	33.3	0.879999
5	0.0	0.879999
0	50.0	0.889999
1	50.0	0.889999
2	50.0	0.889999
3	50.0	0.889999
4	50.0	0.889999
5	50.0	0.889999
0	50.0	0.899999
1	50.0	0.899999
2	50.0	0.899999
3	0.0	0.899999
4	0.0	0.899999
5	0.0	0.899999
1	50.0	0.909999
3	50.0	0.909999
4	50.0	0.909999
5	50.0	0.909999
0	0.0	0.909999
2	0.0	0.909999
0	33.3	0.919999
4	33.3	0.919999
1	0.0	0.919999
2	0.0	0.919999
3	0.0	0.919999
5	0.0	0.919999
0	33.3	0.929999
1	33.3	0.929999
2	33.3	0.929999
3	33.3	0.929999
4	33.3	0.929999
5	33.3	0.929999
0	50.0	0.939999
1	50.0	0.939999
2	50.0	0.939999
3	50.0	0.939999
4	50.0	0.939999
5	50.0	0.939999
0	50.0	0.949999
1	50.0	0.949999
2	50.0	0.949999
4	50.0	0.949999
5	50.0	0.949999
3	0.0	0.949999
0	33.3	0.959999
1	33.3	0.959999
3	33.3	0.959999
2	0.0	0.959999
4	0.0	0.959999
5	0.0	0.959999
0	33.3	0.969999
1	33.3	0.969999
2	33.3	0.969999
3	33.3	0.969999
4	33.3	0.969999
5	33.3	0.969999
1	50.0	0.979999
3	50.0	0.979999
4	50.0	0.979999
5	50.0	0.979999
0	0.0	0.979999
2	0.0	0.979999
0	66.7	0.989999
1	33.3	0.989999
2	33.3	0.989999
3	33.3	0.989999
4	33.3	0.989999
5	0.0	0.989999
2	50.0	0.999999
4	50.0	0.999999
5	50.0	0.999999
0	0.0	0.999999
1	0.0	0.999999
3	0.0	0.999999
0	50.0	1.009999
1	50.0	1.009999
3	50.0	1.009999
2	0.0	1.009999
4	0.0	1.009999
5	0.0	1.009999
0	33.3	1.019999
1	33.3	1.019999
2	33.3	1.019999
4	33.3	1.019999
5	33.3	1.019999
3	0.0	1.019999
0	50.0	1.029999
1	50.0	1.029999
2	50.0	1.029999
3	50.0	1.029999
4	50.0	1.029999
5	50.0	1.029999
1	33.3	1.039999
3	33.3	1.039999
4	33.3	1.039999
0	0.0	1.039999
2	0.0	1.039999
5	0.0	1.039999
0	50.0	1.049999
2	50.0	1.049999
1	0.0	1.049999
3	0.0	1.049999
4	0.0	1.049999
5	0.0	1.049999
0	50.0	1.059999
1	50.0	1.059999
3	50.0	1.059999
4	50.0	1.059999
5	50.0	1.059999
2	0.0	1.059999
0	33.3	1.069999
1	33.3	1.069999
2	33.3	1.069999
4	33.3	1.069999
5	33.3	1.069999
3	0.0	1.069999
3	50.0	1.079999
4	50.0	1.079999
5	50.0	1.079999
0	0.0	1.079999
1	0.0	1.079999
2	0.0	1.079999
1	50.0	1.089999
0	25.0	1.089999
2	25.0	1.089999
5	25.0	1.089999
3	0.0	1.089999
4	0.0	1.089999
0	50.0	1.099999
2	50.0	1.099999
3	50.0	1.099999
4	50.0	1.099999
1	0.0	1.099999
5	0.0	1.099999
0	50.0	1.109999
1	50.0	1.109999
2	0.0	1.109999
3	0.0	1.109999
4	0.0	1.109999
5	0.0	1.109999
0	33.3	1.119999
1	33.3	1.119999
3	33.3	1.119999
4	33.3	1.119999
5	33.3	1.119999
2	0.0	1.119999
1	50.0	1.129999
2	50.0	1.129999
4	50.0	1.129999
5	50.0	1.129999
0	0.0	1.129999
3	0.0	1.129999
4	100.0	1.139999
0	50.0	1.139999
2	50.0	1.139999
3	50.0	1.139999
5	50.0	1.139999
1	0.0	1.139999
1	50.0	1.149999
0	25.0	1.149999
2	25.0	1.149999
3	25.0	1.149999
4	0.0	1.149999
5	0.0	1.149999
0	50.0	1.159999
2	50.0	1.159999
4	50.0	1.159999
5	50.0	1.159999
1	0.0	1.159999
3	0.0	1.159999
0	50.0	1.169999
1	50.0	1.169999
3	50.0	1.169999
4	50.0	1.169999
2	0.0	1.169999
5	0.0	1.169999
0	33.3	1.179999
1	33.3	1.179999
2	33.3	1.179999
3	33.3	1.179999
4	33.3	1.179999
5	33.3	1.179999
1	33.3	1.189999
2	33.3	1.189999
3	33.3	1.189999
4	33.3	1.189999
5	33.3	1.189999
0	0.0	1.189999
0	66.7	1.199999
1	33.3	1.199999
3	33.3	1.199999
2	0.0	1.199999
4	0.0	1.199999
5	0.0	1.199999
4	66.7	1.209999
0	33.3	1.209999
2	33.3	1.209999
5	33.3	1.209999
1	0.0	1.209999
3	0.0	1.209999
1	50.0	1.219999
2	50.0	1.219999
3	50.0	1.219999
5	50.0	1.219999
0	0.0	1.219999
4	0.0	1.219999
0	50.0	1.229999
1	50.0	1.229999
3	50.0	1.229999
4	50.0	1.229999
5	50.0	1.229999
2	0.0	1.229999
0	33.3	1.239999
1	33.3	1.239999
2	33.3	1.239999
4	33.3	1.239999
3	0.0	1.239999
5	0.0	1.239999
0	33.3	1.249999
1	33.3	1.249999
2	33.3	1.249999
3	33.3	1.249999
4	33.3	1.249999
5	33.3	1.249999
1	50.0	1.259999
3	50.0	1.259999
4	50.0	1.259999
5	50.0	1.259999
0	0.0	1.259999
2	0.0	1.259999
0	50.0	1.269999
2	50.0	1.269999
4	50.0	1.269999
5	50.0	1.269999
1	0.0	1.269999
3	0.0	1.269999
0	66.7	1.279999
1	66.7	1.279999
2	33.3	1.279999
4	33.3	1.279999
3	0.0	1.279999
5	0.0	1.279999
1	50.0	1.289999
3	50.0	1.289999
4	50.0	1.289999
5	50.0	1.289999
0	0.0	1.289999
2	0.0	1.289999
4	100.0	1.299999
0	50.0	1.299999
2	50.0	1.299999
5	50.0	1.299999
1	0.0	1.299999
3	0.0	1.299999
0	33.3	1.309999
1	33.3	1.309999
3	33.3	1.309999
2	0.0	1.309999
4	0.0	1.309999
5	0.0	1.309999
0	50.0	1.319999
1	50.0	1.319999
2	50.0	1.319999
3	50.0	1.319999
4	0.0	1.319999
5	0.0	1.319999
